"star_programs","program","specialty"
"Cleveland Clinic Foundation/South Pointe Hospital_Internal Medicine","Cleveland Clinic Foundation/South Pointe Hospital","Internal Medicine"
"University Hospitals Osteopathic Consortium (UHOC/Parma)_Internal Medicine","University Hospitals Osteopathic Consortium (UHOC/Parma)","Internal Medicine"
"Beaumont Health (Farmington Hills)_Internal Medicine","Beaumont Health (Farmington Hills)","Internal Medicine"
"Osteopathic Medical Education Consortium of Oklahoma, Inc. (OMECO)_Internal Medicine","Osteopathic Medical Education Consortium of Oklahoma, Inc. (OMECO)","Internal Medicine"
"University Hospitals Osteopathic Consortium (UHOC/Westlake)_Internal Medicine","University Hospitals Osteopathic Consortium (UHOC/Westlake)","Internal Medicine"
"Keesler Medical Center_Internal Medicine","Keesler Medical Center","Internal Medicine"
"University of Puerto Rico School of Medicine_Internal Medicine","University of Puerto Rico School of Medicine","Internal Medicine"
"Universidad Central del Caribe_Internal Medicine","Universidad Central del Caribe","Internal Medicine"
"Sparrow Hospital_Internal Medicine","Sparrow Hospital","Internal Medicine"
"Larkin Community Hospital_Internal Medicine","Larkin Community Hospital","Internal Medicine"
"Desert Regional Medical Center_Internal Medicine","Desert Regional Medical Center","Internal Medicine"
"Still OPTI/Peak Vista_Internal Medicine","Still OPTI/Peak Vista","Internal Medicine"
"Johnston Memorial Hospital_Internal Medicine","Johnston Memorial Hospital","Internal Medicine"
"Philadelphia College of Osteopathic Medicine_Internal Medicine","Philadelphia College of Osteopathic Medicine","Internal Medicine"
"Philadelphia College of Osteopathic Medicine (Lower Bucks Hospital)_Internal Medicine","Philadelphia College of Osteopathic Medicine (Lower Bucks Hospital)","Internal Medicine"
"Rocky Mountain Osteopathic Postgraduate Training Institution (RMOPTI)/Bingham Memorial Hospital_Internal Medicine","Rocky Mountain Osteopathic Postgraduate Training Institution (RMOPTI)/Bingham Memorial Hospital","Internal Medicine"
"Merit Health Wesley_Internal Medicine","Merit Health Wesley","Internal Medicine"
"UPMC Pinnacle Lititz_Internal Medicine","UPMC Pinnacle Lititz","Internal Medicine"
"Walter Reed National Medical Center_Internal Medicine","Walter Reed National Medical Center","Internal Medicine"
"MercyHealth GME Consortium_Internal Medicine","MercyHealth GME Consortium","Internal Medicine"
"Kettering Health Network/Grandview Medical Center_Internal Medicine","Kettering Health Network/Grandview Medical Center","Internal Medicine"
"OPTI West/West Anaheim Medical Center_Internal Medicine","OPTI West/West Anaheim Medical Center","Internal Medicine"
"Beaumont Health (Trenton)_Internal Medicine","Beaumont Health (Trenton)","Internal Medicine"
"Connecticut Institute For Communities/Greater Danbury Community Health Center_Internal Medicine","Connecticut Institute For Communities/Greater Danbury Community Health Center","Internal Medicine"
"Naval Medical Center (Portsmouth)_Internal Medicine","Naval Medical Center (Portsmouth)","Internal Medicine"
"San Juan City Hospital_Internal Medicine","San Juan City Hospital","Internal Medicine"
"Skagit Regional Health_Internal Medicine","Skagit Regional Health","Internal Medicine"
"Ascension Macomb-Oakland Hospital_Internal Medicine","Ascension Macomb-Oakland Hospital","Internal Medicine"
"Naval Medical Center (San Diego)_Internal Medicine","Naval Medical Center (San Diego)","Internal Medicine"
"University of Colorado School of Medicine_Internal Medicine-Pediatrics","University of Colorado School of Medicine","Internal Medicine-Pediatrics"
"Icahn School of Medicine at Mount Sinai_Internal Medicine-Pediatrics","Icahn School of Medicine at Mount Sinai","Internal Medicine-Pediatrics"
"University of Maryland at Mercy Medical Center-Preliminary_Internal Medicine-Pediatrics","University of Maryland at Mercy Medical Center-Preliminary","Internal Medicine-Pediatrics"
"West Virginia University (Morgantown)_Internal Medicine-Pediatrics","West Virginia University (Morgantown)","Internal Medicine-Pediatrics"
"Louisiana State University School of Medicine_Internal Medicine-Pediatrics","Louisiana State University School of Medicine","Internal Medicine-Pediatrics"
"Beaumont Health (Royal Oak)_Internal Medicine-Pediatrics","Beaumont Health (Royal Oak)","Internal Medicine-Pediatrics"
"Detroit Medical Center/Wayne State University (Sinai Grace)_Internal Medicine-Pediatrics","Detroit Medical Center/Wayne State University (Sinai Grace)","Internal Medicine-Pediatrics"
"Albert Einstein Healthcare Network-Preliminary_Internal Medicine-Preliminary","Albert Einstein Healthcare Network-Preliminary","Internal Medicine-Preliminary"
"Hackensack University Medical Center_Internal Medicine-Preliminary","Hackensack University Medical Center","Internal Medicine-Preliminary"
"Icahn School of Medicine at Mount Sinai/St Luke's-Roosevelt Hospital Center_Internal Medicine-Preliminary","Icahn School of Medicine at Mount Sinai/St Luke's-Roosevelt Hospital Center","Internal Medicine-Preliminary"
"Norwalk Hospital_Internal Medicine-Preliminary","Norwalk Hospital","Internal Medicine-Preliminary"
"St Barnabas Hospital (Bronx)_Internal Medicine-Preliminary","St Barnabas Hospital (Bronx)","Internal Medicine-Preliminary"
"Louisiana State University (New Orleans)_Internal Medicine-Preliminary","Louisiana State University (New Orleans)","Internal Medicine-Preliminary"
"MedStar Health/Georgetown University Hospital_Internal Medicine-Preliminary","MedStar Health/Georgetown University Hospital","Internal Medicine-Preliminary"
"University of Texas Health Science Center at Houston (Memorial Hermann Hospital)_Internal Medicine-Preliminary","University of Texas Health Science Center at Houston (Memorial Hermann Hospital)","Internal Medicine-Preliminary"
"Cayuga Medical Center_Internal Medicine-Preliminary","Cayuga Medical Center","Internal Medicine-Preliminary"
"HealthONE_Internal Medicine-Preliminary","HealthONE","Internal Medicine-Preliminary"
"Texas A&M College of Medicine-Scott and White Medical Center (Temple)_Internal Medicine-Preliminary","Texas A&M College of Medicine-Scott and White Medical Center (Temple)","Internal Medicine-Preliminary"
"University of California (San Francisco) School of Medicine_Internal Medicine-Preliminary","University of California (San Francisco) School of Medicine","Internal Medicine-Preliminary"
"Brown University/Rhode Island Hospital-Lifespan_Internal Medicine-Preliminary","Brown University/Rhode Island Hospital-Lifespan","Internal Medicine-Preliminary"
"Creighton University School of Medicine/St Joseph's Medical Center (Phoenix)_Internal Medicine-Preliminary","Creighton University School of Medicine/St Joseph's Medical Center (Phoenix)","Internal Medicine-Preliminary"
"Kaiser Permanente Southern California (San Diego)_Internal Medicine-Preliminary","Kaiser Permanente Southern California (San Diego)","Internal Medicine-Preliminary"
"Olive View/UCLA Medical Center_Internal Medicine-Preliminary","Olive View/UCLA Medical Center","Internal Medicine-Preliminary"
"University of California Riverside School of Medicine_Internal Medicine-Preliminary","University of California Riverside School of Medicine","Internal Medicine-Preliminary"
"University of Maryland/Sheppard Pratt_Internal Medicine-Preliminary","University of Maryland/Sheppard Pratt","Internal Medicine-Preliminary"
"Yale-New Haven Medical Center (Primary Care)_Internal Medicine-Preliminary","Yale-New Haven Medical Center (Primary Care)","Internal Medicine-Preliminary"
"HCA West Florida GME Consortium/Blake Medical Center_Internal Medicine-Preliminary","HCA West Florida GME Consortium/Blake Medical Center","Internal Medicine-Preliminary"
"University of Florida_Internal Medicine-Preliminary","University of Florida","Internal Medicine-Preliminary"
"Case Western Reserve University (MetroHealth)-Preliminary_Internal Medicine-Preliminary","Case Western Reserve University (MetroHealth)-Preliminary","Internal Medicine-Preliminary"
"University of Tennessee College of Medicine at Memphis_Internal Medicine-Preliminary","University of Tennessee College of Medicine at Memphis","Internal Medicine-Preliminary"
"Medical City Weatherford_Internal Medicine-Preliminary","Medical City Weatherford","Internal Medicine-Preliminary"
"HCA West Florida GME Consortium/Citrus Memorial Hospital_Internal Medicine-Preliminary","HCA West Florida GME Consortium/Citrus Memorial Hospital","Internal Medicine-Preliminary"
"Mount Sinai Medical Center of Florida, Inc_Internal Medicine-Preliminary","Mount Sinai Medical Center of Florida, Inc","Internal Medicine-Preliminary"
"University of Rochester/Highland Hospital of Rochester_Internal Medicine-Preliminary","University of Rochester/Highland Hospital of Rochester","Internal Medicine-Preliminary"
"Baptist Health_Internal Medicine-Preliminary","Baptist Health","Internal Medicine-Preliminary"
"Riverside Medical Center_Internal Medicine-Preliminary","Riverside Medical Center","Internal Medicine-Preliminary"
"Southern Illinois University School of Medicine_Internal Medicine-Preliminary","Southern Illinois University School of Medicine","Internal Medicine-Preliminary"
"University of Wisconsin Hospitals and Clinics_Internal Medicine-Preliminary","University of Wisconsin Hospitals and Clinics","Internal Medicine-Preliminary"
"University of Puerto Rico School of Medicine_Internal Medicine-Preliminary","University of Puerto Rico School of Medicine","Internal Medicine-Preliminary"
"Robert Packer Hospital/Guthrie_Internal Medicine-Preliminary","Robert Packer Hospital/Guthrie","Internal Medicine-Preliminary"
"University of Illinois College of Medicine at Peoria_Internal Medicine-Preliminary","University of Illinois College of Medicine at Peoria","Internal Medicine-Preliminary"
"Inspira Medical Center Woodbury_Internal Medicine-Preliminary","Inspira Medical Center Woodbury","Internal Medicine-Preliminary"
"NCH Healthcare System_Internal Medicine-Preliminary","NCH Healthcare System","Internal Medicine-Preliminary"
"Research Medical Center/Overland Park Regional Medical Center_Internal Medicine-Preliminary","Research Medical Center/Overland Park Regional Medical Center","Internal Medicine-Preliminary"
"Trios Health_Internal Medicine-Preliminary","Trios Health","Internal Medicine-Preliminary"
"Appalachian Osteopathic Postgraduate Training Institute Consortium_Internal Medicine-Preliminary","Appalachian Osteopathic Postgraduate Training Institute Consortium","Internal Medicine-Preliminary"
"Canton Medical Education Foundation/NEOMED_Internal Medicine-Preliminary","Canton Medical Education Foundation/NEOMED","Internal Medicine-Preliminary"
"Dwight David Eisenhower Army Medical Center_Internal Medicine-Preliminary","Dwight David Eisenhower Army Medical Center","Internal Medicine-Preliminary"
"White River Health System_Internal Medicine-Preliminary","White River Health System","Internal Medicine-Preliminary"
"Rochester General Hospital_Internal Medicine-Preliminary","Rochester General Hospital","Internal Medicine-Preliminary"
"VCOM/LGHM GME Consortium_Internal Medicine-Preliminary","VCOM/LGHM GME Consortium","Internal Medicine-Preliminary"
"Kent Hospital/Brown University_Internal Medicine-Preliminary","Kent Hospital/Brown University","Internal Medicine-Preliminary"
"Parkview Medical Center_Internal Medicine-Preliminary","Parkview Medical Center","Internal Medicine-Preliminary"
"Eastern Idaho Regional Medical Center_Internal Medicine-Preliminary","Eastern Idaho Regional Medical Center","Internal Medicine-Preliminary"
"Manatee Memorial Hospital_Internal Medicine-Preliminary","Manatee Memorial Hospital","Internal Medicine-Preliminary"
"Ramon Betances Hospital-Mayaguez Medical Center/Ponce School of Medicine Consortium_Internal Medicine-Preliminary","Ramon Betances Hospital-Mayaguez Medical Center/Ponce School of Medicine Consortium","Internal Medicine-Preliminary"
"Abrazo Health Network_Internal Medicine-Preliminary","Abrazo Health Network","Internal Medicine-Preliminary"
"Fairfield Medical Center_Internal Medicine-Preliminary","Fairfield Medical Center","Internal Medicine-Preliminary"
"MercyHealth GME Consortium_Internal Medicine-Preliminary","MercyHealth GME Consortium","Internal Medicine-Preliminary"
"Western Reserve Hospital_Internal Medicine-Preliminary","Western Reserve Hospital","Internal Medicine-Preliminary"
"Central Michigan University College of Medicine_Internal Medicine-Preliminary","Central Michigan University College of Medicine","Internal Medicine-Preliminary"
